theme;question;A;B;C;D;reponse
harry potter;Quel est le premier personnage à apparaitre à l'écran?;Minerva McGonagall;Albus Dumbledore;Vernon Dursley;Pétunia Dursley;B
harry potter;Le jour où Harry reçoit sa première lettre pour Poudlard; que fait Pétunia dans la cuisine?;Elle tient l'ancien uniforme de Dudley;Elle fait la cuisine;Elle prépare un gâteau pour Dudley;Elle reprend l'un des pantalons de Dudley;A
harry potter;Qui est assis derrière Ron et Hermione pendant le cours Wingardium Leviosa?;Dean et Seamus;Seamus et Harry;Deam, Seamus et Harry;Dean et Neville;D
harry potter;Dans le premier film, combien de points Hermione fait-elle gagner à Gryffondor?;20;50;100;150;B
harry potter;Lors de la partie d'échec, quelle est la dernière manoeuvre de Ron?;cavalier en D4;cavalier en H3;cavalier en H5;tour en D3;B
harry potter;Quel animal a aidé à la confection de la baguette de Harry?;chouette;dragon;phénix;licorne;C
harry potter;Dans le premier film, quel membre des Weasley est le premier à passer la voie 9 3/4?;George;Fred;Ron;Percy;D
harry potter;Quel est le nom du professeur d'étude des moldus à Poudlard ?;Remus Lupin;Severus Rogue;Charity Burbage;Sybille Trelawney;C
harry potter;Quel est le nom de l'animal de compagnie de Harry Potter ?;Croûtard;Crockdur;Hedwige;Fang;C
harry potter;Quel personnage a une boutique sur le Chemin de Traverse ?;Flamel;Flitwick;Fudge;Florean Fortescue;D
harry potter;Quel est le premier livre de la série Harry Potter ?;La Coupe de feu;A l'école des Sorciers;La Chambre des secrets;L'Ordre du Phénix;B
harry potter;Qui est le véritable père de Tom Jedusor ?;Terence Higgs;Elvis Marvolo Gaunt;Tom Riddle;Tom Jedusor Senior;D
harry potter;Dans quel film a t'on vu la première fois Dobby?;La Chambre des secrets;La Coupe de feu;A l'école des Sorciers;L'Ordre du Phénix;A
harry potter;Qui est le père de Bellatrix Lestrange ?;Rodolphus Lestrange;Walden Macnair;Cygnus Black III;Regulus Arcturus Black;C
harry potter;Qui est le parrain de Harry Potter ?;Sirius Blak;Remus Lupin;Arthur Weasley;Peter Pettigrow;A
pokemon;Quelle est l'évolution de Roucool?;Roucarnage;Roucoups;Roufun;Roucaillou;B
